timestamp, index, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2026/02/13 05:28:43.808, 0, Tesla V100S-PCIE-32GB, 0 %, 1 MiB, 32768 MiB
2026/02/13 05:28:53.810, 0, Tesla V100S-PCIE-32GB, 0 %, 1 MiB, 32768 MiB
2026/02/13 05:29:03.816, 0, Tesla V100S-PCIE-32GB, 29 %, 472 MiB, 32768 MiB
2026/02/13 05:29:13.820, 0, Tesla V100S-PCIE-32GB, 29 %, 472 MiB, 32768 MiB
2026/02/13 05:29:23.822, 0, Tesla V100S-PCIE-32GB, 28 %, 472 MiB, 32768 MiB
2026/02/13 05:29:33.828, 0, Tesla V100S-PCIE-32GB, 29 %, 472 MiB, 32768 MiB
2026/02/13 05:29:43.829, 0, Tesla V100S-PCIE-32GB, 28 %, 472 MiB, 32768 MiB
2026/02/13 05:29:53.831, 0, Tesla V100S-PCIE-32GB, 29 %, 472 MiB, 32768 MiB
2026/02/13 05:30:03.832, 0, Tesla V100S-PCIE-32GB, 29 %, 472 MiB, 32768 MiB
2026/02/13 05:30:13.834, 0, Tesla V100S-PCIE-32GB, 43 %, 472 MiB, 32768 MiB
2026/02/13 05:30:23.836, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
2026/02/13 05:30:33.837, 0, Tesla V100S-PCIE-32GB, 29 %, 472 MiB, 32768 MiB
2026/02/13 05:30:43.839, 0, Tesla V100S-PCIE-32GB, 29 %, 472 MiB, 32768 MiB
2026/02/13 05:30:53.840, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
2026/02/13 05:31:03.842, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
2026/02/13 05:31:13.843, 0, Tesla V100S-PCIE-32GB, 29 %, 472 MiB, 32768 MiB
2026/02/13 05:31:23.845, 0, Tesla V100S-PCIE-32GB, 29 %, 472 MiB, 32768 MiB
2026/02/13 05:31:33.846, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
2026/02/13 05:31:43.848, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
2026/02/13 05:31:53.850, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
2026/02/13 05:32:03.857, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
2026/02/13 05:32:13.859, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
2026/02/13 05:32:23.860, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
2026/02/13 05:32:33.861, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
2026/02/13 05:32:43.863, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
2026/02/13 05:32:53.866, 0, Tesla V100S-PCIE-32GB, 29 %, 472 MiB, 32768 MiB
2026/02/13 05:33:03.868, 0, Tesla V100S-PCIE-32GB, 29 %, 472 MiB, 32768 MiB
2026/02/13 05:33:13.869, 0, Tesla V100S-PCIE-32GB, 29 %, 472 MiB, 32768 MiB
2026/02/13 05:33:23.875, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
2026/02/13 05:33:33.879, 0, Tesla V100S-PCIE-32GB, 29 %, 472 MiB, 32768 MiB
2026/02/13 05:33:43.882, 0, Tesla V100S-PCIE-32GB, 29 %, 472 MiB, 32768 MiB
2026/02/13 05:33:53.883, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
2026/02/13 05:34:03.884, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
2026/02/13 05:34:13.886, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
